tweet_id,user_id,created_at,text,hashtags,retweetcount,retweeter_ids
1659771838833238016,1407983441656696832,2023-05-20 04:03:38+00:00,"Congratulations &amp; ยินดีต้อนรับน้องๆที่ติดทันตะ มศวด้วยค่า🥳🥳
รบกวนแสกน qr codeนี้ด้วยน้า จะมีพี่ๆดึงเข้ากลุ่มคับบ ไ… https://t.co/SQwtpUlzP8",,0,
1659771840854888449,866644382702645248,2023-05-20 04:03:38+00:00,เมคเฟรนกับงับบ หารูมเมทด้วย อยากอยู่ห้องกับเพื่อนคณะเดียวกัน🫶🏻 #dek66 https://t.co/1BIVFwU9tc,dek66,0,
1659771840171216896,1241418385520377857,2023-05-20 04:03:38+00:00,ทั้งภาคเป/ภาคปกเลย🥹 #dek66 #ทีมมศว https://t.co/FjMNS7Dab4,"dek66,ทีมมศว",0,
1659771834798329856,1450438695027232771,2023-05-20 04:03:37+00:00,อยากทราบคะเเนนคนติดมก บัญชี คะเเนนเท่าไหร่กันบ้างคะ #dek66,dek66,0,
1659771832004927489,1580888482201108480,2023-05-20 04:03:36+00:00,มีใครติดจุลชีววิทยา จุฬาบ้างมั้ยคะ อยากทราบคะแนนค่ะ🥹 #dek66,dek66,0,
1659771832906678272,877753936257601536,2023-05-20 04:03:36+00:00,"ยินดีกับทุกคนที่สอบติด และใครที่ยังไปไม่ถึงสิ่งที่ตั้งใจไว้ ขอเป็นกำลังใจให้คับ dm เปิดอยู่เสมอ ทักมาคุยกันได้นะ💌✨🩷 

#dek66",dek66,0,
1659771833934299136,1648538661473116160,2023-05-20 04:03:36+00:00,"‼️งานรับสมัครพนักงาน‼️  
ช่วยทำงานออกแบบดีไซเนอร์   
1.ช่วยออกเเบบเสื้อผ้า 
2.ช่วยออกเเบบกระะเป๋าเเบร์น 
3.ช่วยออกเ… https://t.co/ssDKtAj7aV",,2,
1659771825889636352,1495445668529205248,2023-05-20 04:03:35+00:00,กูจะกิ้ดดดด กูอยากได้อีกอัน ไปค่ะกดประมวลผลกัน!!! #dek66 https://t.co/N4WvPWMNPz,dek66,0,
1659771829618348034,1152972380966232064,2023-05-20 04:03:35+00:00,หลุดหมดค่ะ มืดแปดด้าน  #dek66,dek66,0,
1659771824463548416,1657230594231906307,2023-05-20 04:03:34+00:00,ถ้าประมวลเเล้วติด เค้าเเจก 200 บาท 2 คนค่ะTT #dek66 https://t.co/1PYZ6gmVsY,dek66,6,"861213383172816896,1029719948128468993,1057990644658892801"
1659771824018964482,1183333648008790016,2023-05-20 04:03:34+00:00,พยาบาล มธ.รับทุนคนที่ติดมีใครคะแนนประมาณ 45 หรือน้อยกว่ามั้ยคะ #dek66 #ทีมมธ,"dek66,ทีมมธ",1,"1144094845767569408,1271020157444354048,1340603932255502336"
1659771822701973504,1260154948202885120,2023-05-20 04:03:34+00:00,#dek66 อักษรจุ หาเพื่อนค่าา😭 https://t.co/DxH4FhgGun,dek66,1,1074658746209525760
1659771811331207169,999124510807748609,2023-05-20 04:03:31+00:00,#dek66 มีใครคิดจักรพงษ์บ้างคะ,dek66,0,
1659771813109563393,1342487433259061251,2023-05-20 04:03:31+00:00,ถ้ายื่นประมวลรอบ 2 จะมีโอกาสที่ไม่ติดอะไรเลยมั้ยคะ 🥲🥲🥲#dek66,dek66,0,
1659771802149851137,1341565447074791424,2023-05-20 04:03:29+00:00,วารสารมธ make friend ได้นะค่า🩵🫶 #dek66 #tcas66 #tu,"dek66,tcas66,tu",0,
1659771798857334784,1030480305298202624,2023-05-20 04:03:28+00:00,โบราณคดี สังคมค่า เมคเฟรนได้นะคะ #dek66 #ศิลปากร https://t.co/o9nSgP6XY6,"dek66,ศิลปากร",2,"1498246465,1512317883589615620,1131186862620471298"
1659771796386885633,1505950779970297858,2023-05-20 04:03:27+00:00,มีใครติดสถาปัตย์ ม.รังสิต บ้างคะ #dek66,dek66,0,
1659771791542476801,1052580478987853824,2023-05-20 04:03:26+00:00,วิศวะ กับ บริหาร มธ ติดคะแนนเท่าไหร่กันบ้างคะ 😢🤍 #dek66,dek66,2,"885498988190879745,1052580478987853824"
1659771790913318913,1604112329012314112,2023-05-20 04:03:26+00:00,เป็นฉันได้มั้ยที่ติดลำดับที่ 1 #dek66,dek66,0,
1659771781773955073,1094268721399361536,2023-05-20 04:03:24+00:00,มีใครติดแม่โจ้บ้างมั้ยคั้บ หาเพื่อนไว้เผื่ออันดับไม่เลื่อน ❣️🍀 #DEK66,DEK66,0,
1659771783845933058,1259175560044920833,2023-05-20 04:03:24+00:00,"ขอแสดงความยินดีกับน้อง ๆ ที่ติดแพทย์จุฬา &amp; จุฬา ทอ. รอบ 3 ทุกคนน้า 🎉

🚨สำคัญ🚨 รบกวนน้อง ๆ ที่ยืนยันสิทธิ์เรียบร้อยแ… https://t.co/MJNJYg0iNH",,2,"1179640384667840513,1637785535212306433,1075567335476363264"
1659771776099045376,1188577025914634240,2023-05-20 04:03:23+00:00,"เย้ๆๆ เตรียมชุดปังๆ ใส่ไปมหาวิทยาลัยกัน😻 ราคาน่าร้ากกกกที่ Lazada

https://t.co/Gtz7JnEN4I

#dek66 #LazLOOKTH… https://t.co/o226siXnGu","dek66,LazLOOKTH",0,
1659771778733051907,185414849,2023-05-20 04:03:23+00:00,ดีใจกับน้องๆที่ติด แล้วก็เป็นกำลังใจให้น้องๆที่ไม่ติดหรือติดที่ไม่ชอบนะคับบ พยายามกันต่อไปป ชีวิตมหาลัยรออยู่ #dek66,dek66,1,1244965965659385856
